bankrupt,roa,operating_gross_margin,current_ratio,quick_ratio,interest_expense_ratio,debt_ratio,working_capital_to_assets,quick_asset_to_assets,current_asset_to_assets,cash_to_assets,quick_assets_to_current_liability,cash_to_current_liability,current_liability_to_assets
1,0.405749772,0.601457213,0.002258963,0.001207755,0.629951302,0.207576261,0.672775292,0.166672959,0.190642959,0.004094406,0.001996771,0.000147336,0.14730845
1,0.516730018,0.610235086,0.006016206,0.004039367,0.635172463,0.171176346,0.751110917,0.127236002,0.182419054,0.014947727,0.00413603,0.00138391,0.056962827
1,0.472295091,0.601450006,0.011542554,0.00534756,0.629631443,0.207515796,0.829501915,0.340200878,0.602805702,0.000990944,0.006302481,5340000000,0.098162065
1,0.457733283,0.583541129,0.004194059,0.002896491,0.630228353,0.151464764,0.72575418,0.161574532,0.225814869,0.018850625,0.002961238,0.001010646,0.09871463
1,0.522297768,0.598783494,0.006022446,0.003727447,0.636054986,0.106509055,0.751822452,0.260329881,0.35838016,0.014160974,0.004274771,0.000680464,0.110194846
1,0.419133787,0.590171378,0.002740085,0.000854661,0.630183833,0.180427487,0.686728646,0.080263715,0.214535988,0.002645226,0.000988425,0.000100856,0.139002106
0,0.436158253,0.619949841,0.00467206,0.002869042,0.629987945,0.216101823,0.729416462,0.25509317,0.295221007,0.022988598,0.00397383,0.001050312,0.115920412
0,0.559077038,0.601738278,0.00965738,0.007304548,0.631379022,0.108202074,0.797005214,0.361219101,0.447942035,0.014615913,0.007564962,0.000888122,0.087041801
0,0.543283902,0.603612044,0.013498866,0.011823024,0.630914987,0.058590561,0.813737523,0.378625212,0.414645601,0.145189218,0.011937605,0.013190215,0.058059728
0,0.542962685,0.599208694,0.011474535,0.007516653,0.632188258,0.121292741,0.825695871,0.394951276,0.577189304,0.008772791,0.007604683,0.000490883,0.094563303
0,0.538197976,0.614025858,0.006097329,0.003449214,0.631236901,0.103576503,0.751204343,0.059900571,0.10174523,0.002056836,0.003626043,0.000335896,0.032086803
0,0.498956047,0.623711786,0.00862899,0.005122978,0.632095793,0.094385827,0.769113889,0.140018106,0.218942636,0.020542229,0.005415676,0.002253735,0.047994813
0,0.543390974,0.608130702,0.006630869,0.004029385,0.632377639,0.144662454,0.760000222,0.215491645,0.340940213,0.058218001,0.004089383,0.003220041,0.0956719
0,0.523689705,0.600577985,0.010100437,0.006446767,0.640422734,0.10656952,0.791909627,0.248973745,0.371121251,0.074169857,0.006590766,0.005663643,0.069166166
0,0.569837786,0.604685856,0.018859224,0.012023277,0.631670799,0.089639326,0.802390919,0.203548425,0.274142529,0.021194017,0.013603194,0.004008796,0.027638023
0,0.558755822,0.621773159,0.01133101,0.007063121,0.631097177,0.099071863,0.791990661,0.216980303,0.320023003,0.003766824,0.007479737,0.000371908,0.053385356
0,0.540285883,0.606523588,0.006217765,0.004346296,0.631239298,0.061281253,0.752032218,0.096143962,0.126506171,0.052866701,0.004676517,0.007164914,0.038761655
0,0.580919749,0.618450828,0.01615658,0.007383152,0.631059506,0.078725398,0.816363502,0.239670321,0.380520031,0.013907171,0.009885075,0.001639336,0.044637378
0,0.55864875,0.598343879,0.007219946,0.004172245,0.632451953,0.141336881,0.766580251,0.221159768,0.338067681,0.012801285,0.004607472,0.000774571,0.087413141
0,0.533647412,0.63625881,0.013358461,0.008200383,0.631267722,0.077485866,0.809073201,0.249596686,0.386907211,0.093503139,0.008371469,0.009000166,0.054771596
0,0.534664597,0.622176739,0.026719417,0.022852523,0.630623553,0.096350939,0.789153248,0.157050073,0.176667365,0.031924086,0.023000287,0.013033331,0.012548281
0,0.553027464,0.607446057,0.015759077,0.012931588,0.630982795,0.100734649,0.847345862,0.488012595,0.57143839,0.139413215,0.013011535,0.010744401,0.068526104
0,0.569034745,0.618933683,0.007162536,0.005050612,0.63223723,0.146506636,0.764144883,0.230240983,0.297345666,0.038272303,0.005417889,0.00260549,0.07763949
0,0.540446491,0.6095072,0.005166287,0.004563393,0.634338913,0.193034435,0.734030367,0.387480963,0.419117901,0.20786639,0.004690362,0.007405721,0.148790999
0,0.552599176,0.602956226,0.005716051,0.004270812,0.633345776,0.194515827,0.745811316,0.345390361,0.456763728,0.017860839,0.004221238,0.000643438,0.147142955
0,0.495529739,0.611762925,0.006329465,0.004348168,0.628951316,0.146748496,0.752991982,0.102841764,0.149192509,0.014953766,0.004317097,0.001762148,0.044651633
0,0.568606456,0.626544055,0.005563789,0.004628896,0.631321489,0.092057925,0.7469121,0.180028692,0.196759064,0.026006422,0.005003283,0.002078155,0.066073203
0,0.592483538,0.609737817,0.021880743,0.012717611,0.630964987,0.03609759,0.839002275,0.28056936,0.442775457,0.106296004,0.01343754,0.014550059,0.038373351
0,0.550564805,0.60202655,0.015599951,0.007893453,0.631503678,0.089578861,0.819444466,0.219245901,0.407488217,0.007991229,0.008163202,0.000850943,0.049464084
1,0.463782858,0.599115006,0.00429203,0.001933905,0.629275284,0.219608792,0.703730256,0.316573275,0.469679801,0.008266417,0.00282667,0.000221174,0.198285095
1,0.514427967,0.599987028,0.00212355,0.001388669,0.64852365,0.228890165,0.673325141,0.105993835,0.172224525,0.011060914,0.001305564,0.000415664,0.141036558
0,0.529685743,0.618868822,0.003358492,0.002473527,0.635145409,0.208241376,0.697045111,0.227059469,0.269992608,0.02307052,0.00280385,0.000846474,0.144464756
0,0.559826543,0.601168942,0.008700753,0.00669256,0.631549568,0.116848565,0.785427201,0.341625721,0.408880089,0.006430036,0.007072552,0.000386364,0.088027511
0,0.540500027,0.603475115,0.011385924,0.009680132,0.631230737,0.06233939,0.799890751,0.344784958,0.380131168,0.1099419,0.010019642,0.009212857,0.062985232
0,0.548583971,0.599107799,0.010821183,0.007094937,0.63249476,0.124104363,0.826180808,0.480039533,0.622632302,0.009640278,0.008084053,0.000472725,0.107973141
0,0.525028106,0.614278096,0.006622132,0.004129824,0.631589636,0.122622971,0.753131107,0.060887681,0.091643379,0.001818174,0.004422931,0.000354145,0.026824926
0,0.51710477,0.622702835,0.006099825,0.003461691,0.628333174,0.139281071,0.752031074,0.124182432,0.218097184,0.034649948,0.003419308,0.002735428,0.0668864
0,0.529310991,0.607042477,0.009493262,0.005765533,0.63401289,0.147201983,0.784658594,0.21637351,0.336908311,0.042104213,0.005939898,0.003328671,0.066789899
0,0.530863537,0.60088067,0.019165619,0.011513599,0.633241325,0.095383499,0.821157204,0.235861818,0.372859122,0.055163022,0.011774878,0.007846192,0.036910939
0,0.544140479,0.598444774,0.016869838,0.012083789,0.632810167,0.08008586,0.80096655,0.233810832,0.282635083,0.025434432,0.013530715,0.004185023,0.031842533
0,0.549226404,0.625326107,0.008481721,0.005322607,0.631229024,0.118874142,0.773200226,0.190353483,0.279577582,0.004233507,0.005640537,0.000360167,0.062031959
0,0.541517212,0.604411998,0.005397799,0.003651962,0.631236901,0.06902077,0.746585922,0.114648343,0.142535794,0.054515238,0.004290133,0.005767471,0.049789358
0,0.559077038,0.61817697,0.011685455,0.005565281,0.631308475,0.08664631,0.801107925,0.246683999,0.378632073,0.049665261,0.007399985,0.004285039,0.06116038
0,0.576422721,0.600347367,0.006009966,0.003237108,0.631594088,0.137981074,0.751569315,0.20799927,0.340455976,0.018552171,0.003583699,0.000935597,0.104974926
0,0.552920392,0.635718301,0.010436161,0.006854135,0.631025602,0.091150951,0.79592654,0.267970699,0.389212968,0.084808266,0.006983456,0.006379642,0.070218037
0,0.538947481,0.624317156,0.021259216,0.017748884,0.630616704,0.094234665,0.775479414,0.105126038,0.121528693,0.008047887,0.017905162,0.003746093,0.010947135
0,0.545853632,0.608865795,0.016698856,0.014383265,0.630916357,0.099676512,0.855304513,0.552129742,0.597730926,0.13360494,0.014902347,0.010425035,0.067677077
0,0.57235398,0.620944378,0.007109494,0.005068704,0.631849564,0.14194153,0.76454758,0.242457571,0.318155893,0.051390454,0.005290256,0.003251376,0.083577917
0,0.539804058,0.610206258,0.005312932,0.004405561,0.63399611,0.201106509,0.736628546,0.41925756,0.44796313,0.09986268,0.004880193,0.003421582,0.1547353
0,0.549172868,0.60456334,0.005530092,0.004202189,0.633433789,0.184660036,0.741778104,0.35218295,0.447641681,0.008639337,0.00425419,0.000307647,0.148863536
0,0.522511912,0.619402125,0.00394757,0.002901482,0.617627841,0.15421592,0.732740421,0.095486646,0.131194687,0.014188683,0.0028649,0.001211042,0.061828918
0,0.568178168,0.626414333,0.004952247,0.00426083,0.631300941,0.091604438,0.739914837,0.187122295,0.198492062,0.033585921,0.004599307,0.002383786,0.074449813
0,0.568178168,0.609290996,0.014818675,0.010421254,0.631138615,0.051848717,0.820765492,0.327415425,0.430009879,0.114842024,0.010931158,0.011028814,0.054898495
0,0.550671878,0.603590424,0.010818063,0.006195359,0.631356077,0.093902107,0.797277117,0.225298321,0.382419005,0.00884665,0.006199694,0.000701192,0.066617814
1,0.505594518,0.596945762,0.003198118,0.001559601,0.625067807,0.21035765,0.715123509,0.087235067,0.15796376,0.005559438,0.001758556,0.000327499,0.089798443
1,0.517051234,0.597392583,0.002891099,0.002200909,0.638738853,0.235299453,0.662359963,0.255993314,0.330387641,0.020326853,0.002223896,0.000534161,0.201894138
1,0.054820922,0.601860794,0.004328848,0.00330885,0.630522527,0.321371346,0.692375034,0.566755117,0.604127339,0.210915212,0.004004091,0.00443736,0.252297963
1,0.453450399,0.595994465,0.003327915,0.001948254,0.629853358,0.221452973,0.676279736,0.227439327,0.370091194,0.04992772,0.002001466,0.001334543,0.198480138
0,0.536431286,0.618083282,0.004294526,0.003603302,0.634265626,0.202859993,0.72385504,0.220753014,0.265024796,0.03029461,0.003528706,0.001421194,0.112883313
0,0.540339419,0.600736534,0.006952864,0.004127952,0.631739976,0.141548508,0.76716291,0.259888602,0.428389144,0.016028416,0.004101743,0.000741401,0.114493576
0,0.527811981,0.604635408,0.018572173,0.01595971,0.631123204,0.041630136,0.820679032,0.339912626,0.375968548,0.099152341,0.016229046,0.013562296,0.038401773
0,0.547459714,0.597947506,0.014752528,0.008819232,0.628856112,0.122411343,0.846880272,0.471314054,0.594199824,0.033919963,0.011317569,0.002357553,0.076037075
0,0.516141121,0.61047291,0.007207466,0.004586475,0.632257435,0.116213683,0.755503983,0.068480986,0.101885519,0.00217961,0.00484446,0.00041714,0.027309642
0,0.540125274,0.619048992,0.006465502,0.004285784,0.632716333,0.152099646,0.756146613,0.204884782,0.258677948,0.041460898,0.005014832,0.002931636,0.074733074
0,0.5150704,0.605932631,0.0063875,0.004074926,0.624429802,0.158388004,0.756244703,0.207000486,0.30659629,0.038855129,0.004215919,0.002300669,0.089336666
0,0.52877563,0.600736534,0.018921002,0.012617173,0.631935179,0.100553255,0.834827305,0.321956606,0.44904708,0.091954131,0.013131861,0.010757686,0.044979554
0,0.52797259,0.595122443,0.010226489,0.007113029,0.629610553,0.0857998,0.790630965,0.270834288,0.35298884,0.067773623,0.00762955,0.00550182,0.065032002
0,0.551474918,0.620396662,0.013543795,0.007555332,0.631116012,0.113311364,0.800599525,0.200373752,0.326208552,0.004262318,0.008103832,0.000491576,0.045633441
0,0.53027464,0.604102106,0.007589992,0.004797333,0.631384844,0.065423104,0.758027888,0.091544775,0.124930382,0.003930078,0.005501907,0.000652442,0.031556182
0,0.545532416,0.61242595,0.012313846,0.005557171,0.631979356,0.140006651,0.803408187,0.262620872,0.375465053,0.035977881,0.008366018,0.003293888,0.057609156
0,0.589217838,0.600635639,0.008744434,0.004027514,0.630925946,0.102790459,0.781432705,0.189061078,0.357391479,0.027102603,0.004506773,0.001867644,0.076695831
0,0.563092243,0.636784906,0.011506984,0.006890318,0.630666703,0.082081204,0.799205296,0.240102386,0.37032891,0.082648357,0.007254136,0.007179283,0.060743851
0,0.537769688,0.623985644,0.016748154,0.014515519,0.630635882,0.098497445,0.775306441,0.122193873,0.136058166,0.00494094,0.014622089,0.001634064,0.015602396
0,0.574281278,0.608865795,0.021116939,0.017508082,0.630678004,0.0941742,0.889190131,0.640967061,0.70770349,0.240895478,0.018447375,0.02003773,0.063456224
0,0.576369185,0.619330057,0.006356922,0.004830397,0.631151286,0.129032258,0.75648257,0.275985692,0.341407738,0.049102648,0.005023623,0.002605132,0.099759021
0,0.535895926,0.607539745,0.007561287,0.005371266,0.634200559,0.196662333,0.776495597,0.357002136,0.45319631,0.131184267,0.005799683,0.006221972,0.111648055
0,0.558862894,0.603900316,0.005111997,0.003686273,0.632020109,0.182060042,0.731955277,0.318564902,0.436664596,0.021844578,0.003646042,0.00074002,0.156505135
0,0.53611007,0.618811168,0.003534466,0.002341897,0.633413241,0.156664752,0.727951678,0.082744068,0.124256905,0.007775609,0.002358408,0.00063088,0.065067198
0,0.582579367,0.625599965,0.007399041,0.006731862,0.63073862,0.089337002,0.767330451,0.31024738,0.317464776,0.046968846,0.007056746,0.003094289,0.080245887
0,0.570159002,0.607164992,0.029896319,0.020715246,0.630946494,0.040058046,0.85496143,0.370730531,0.473890758,0.184053794,0.022577276,0.032077489,0.030035978
